序号,件号,名称,中文材料,英文材料,装配处,页数,图纸,任务分配,发动机类型,,级别,,部件,,零件类型,,,零件图纸号,文件夹名称,页号,版本号,文件名称,产品序号,新编号,条形码
67,66.306 ,挡油环,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
68,66.307 ,支持机匣堵盖,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
69,66.308 ,通气齿轮轴磁密封支持机匣,,,,1,A1,李笑,,,,,,,,,,,,,,,,,
70,66.309 ,起动中间齿轮,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
71,66.310 ,端面6槽圆螺母,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
72,66.311 ,N1音轮,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
73,66.312 ,起动齿轮轴磁密封支持机匣,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
74,66.801 ,N1调速齿轮组件,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
75,66.802 ,双级中间齿轮组件,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
76,66.803 ,滑油泵齿轮组件,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
77,66.804 ,起动机齿轮组件,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
78,66.805 ,通气齿轮轴磁密封动环组件,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
79,66.806 ,起动齿轮轴磁密封动环组件,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
80,66.810 ,通气齿轮轴磁密封装置,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
81,66.820 ,起动齿轮轴磁密封装置,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
82,94.011 ,连接支板,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
83,94.012 ,衬套,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
84,94.301 ,M02标牌,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
85,94.302 ,M02标牌安装座,,,,1,A3,李笑,,,,,,,,,,,,,,,,,
86,94.303 ,标牌铆钉,,,,1,A4,李笑,,,,,,,,,,,,,,,,,
87,97.011 ,减速器前机匣,,,,12,A0,曾武,,,,,,,,,,,,,,,,,
88,97.012 ,定位销,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
89,97.013 ,定位销,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
90,97.014 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
91,97.015 ,M01单元体标牌座,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
92,97.016 ,发动机标牌座,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
93,97.017 ,内六角螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
94,97.019 ,喷嘴,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
95,97.021 ,减速器后机匣,,,,3,A0,曾武,,,,,,,,,,,,,,,,,
96,97.022 ,定位销,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
97,97.023 ,喷嘴,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
98,97.024 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
99,97.031 ,输出齿轮喷油嘴,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
100,97.032 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
101,97.033 ,喷嘴,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
102,97.041 ,中间齿轮轴喷油嘴,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
103,97.042 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
104,97.051 ,输入齿轮轴喷油嘴,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
105,97.052 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
106,97.061 ,进油管前段,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
107,97.062 ,进油管后段,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
108,97.063 ,进油管上法兰接头,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
109,97.064 ,进油管下法兰接头,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
110,97.071 ,冷却油管,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
111,97.072 ,法兰接头,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
112,97.101 ,后转接油管,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
113,97.102 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
114,97.111 ,方形转接油管,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
115,97.112 ,螺堵,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
116,97.131 ,放泄装置壳体,,,,1,A1,曾武,,,,,,,,,,,,,,,,,
117,97.132 ,定位销,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
118,97.141 ,加油口油滤装置衬套,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
119,97.142 ,油滤网架1,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
120,97.143 ,油滤网架2,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
121,97.144 ,油滤侧网,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
122,97.145 ,油滤底网,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
123,97.151 ,滑油观察窗座,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
124,97.152 ,滑油观察窗玻璃,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
125,97.161 ,盖帽,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
126,97.162 ,盖座,,,,1,A3,曾武,,,,,,,,,,,,,,,,,
127,97.163 ,锥型钢丝弹簧,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
128,97.164 ,密封胶圈,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
129,97.165 ,盖标牌,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
130,97.166 ,松紧手柄,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
131,97.167 ,拉紧钢丝,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
132,97.168 ,销轴,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
133,97.169 ,油口堵,,,,1,A2,曾武,,,,,,,,,,,,,,,,,
134,97.170 ,钢丝挡圈,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
135,97.171 ,作动块,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
136,97.172 ,安全绳连接别针,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
137,97.173 ,安全绳,,,,1,A4,曾武,,,,,,,,,,,,,,,,,
138,97.174 ,安全绳锁头,管材0Cr18Ni9,GJB 2296-1995,,1,A4,孙经雨,涡轴,2,400kW,01,机械系统,10,其他,018,20110018,001,20110018001,01,01,201100180010101,00001,20110018001010100001,20110018001010100001
139,97.175 ,内六角螺钉,棒材45,GB/T 3078-2008,,1,A4,孙经雨,涡轴,2,400kW,01,机械系统,10,螺钉,011,20110011,001,20110011001,01,01,201100110010101,00001,20110011001010100001,20110011001010100001
140,97.301 ,导油套堵盖,棒材2024 T4,GJB2920-1997,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,001,20108018001,01,01,201080180010101,00001,20108018001010100001,20108018001010100001
141,97.302 ,散热器滑油回油接嘴,1Cr17Ni3,Z9-109-1992,,1,A2,孙经雨,涡轴,2,400kW,01,滑油系统,08,管路,014,20108014,001,20108014001,01,01,201080140010101,00001,20108014001010100001,20108014001010100001
142,97.303 ,挡油盘,冷轧板材5086,GJB 2053A-2008,97.950,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,002,20108018002,01,01,201080180020101,00001,20108018002010100001,20108018002010100001
143,97.304 ,支管,棒材1Cr17Ni3,Z9-0109-1992,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,管路,014,20108014,002,20108014002,01,01,201080140020101,00001,20108014002010100001,20108014002010100001
144,97.305 ,调整垫,板材1Cr18Ni9Ti,GJB 2995-1995,97.950,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,垫片,013,20108013,001,20108013001,01,01,201080130010101,00001,20108013001010100001,20108013001010100001
145,97.306 ,M01单元体标牌,,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,003,20108018003,01,01,201080180030101,00001,20108018003010100001,20108018003010100001
146,97.307 ,上半垫环和下半垫环,板材20240-T4,GJB1741-1993,,1,A0,孙经雨,涡轴,2,400kW,01,滑油系统,08,垫片,013,20108013,002,20108013002,01,01,201080130020101,00001,20108013002010100001,20108013002010100001
147,97.309 ,接地线片,,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,垫片,013,20108013,003,20108013003,01,01,201080130030101,00001,20108013003010100001,20108013003010100001
148,97.310 ,吊耳,板材0Cr16Ni5Mo1,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,004,20108018004,01,01,201080180040101,00001,20108018004010100001,20108018004010100001
149,97.311 ,泄油管,棒材2024 T4,GJB2920-1997,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,管路,014,20108014,003,20108014003,01,01,201080140030101,00001,20108014003010100001,20108014003010100001
150,97.312 ,钢丝卡簧,冷拉钢丝0Cr18Ni9,GB/T4240-2009,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,垫片,013,20108013,004,20108013004,01,01,201080130040101,00001,20108013004010100001,20108013004010100001
151,97.313 ,固定耳片,,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,垫片,013,20108013,005,20108013005,01,01,201080130050101,00001,20108013005010100001,20108013005010100001
152,97.314 ,减压套,棒材2024 T4,GJB 2920-1997,97.950,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,005,20108018005,01,01,201080180050101,00001,20108018005010100001,20108018005010100001
153,97.315 ,粘贴标牌,,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,006,20108018006,01,01,201080180060101,00001,20108018006010100001,20108018006010100001
154,97.316 ,加油口衬套,,,,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,007,20108018007,01,01,201080180070101,00001,20108018007010100001,20108018007010100001
155,97.801 ,减速器前机匣组件,,,,2,2A0,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,001,20108901000,01,01,201089010000101,00001,20108901000010100001,20108901000010100001
156,97.802 ,减速器后机匣组件,,,,1,A0,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,002,20108902000,01,01,201089020000101,00001,20108902000010100001,20108902000010100001
157,97.803 ,输出齿轮轴喷油嘴组件,,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,003,20108903000,01,01,201089030000101,00001,20108903000010100001,20108903000010100001
158,97.804 ,中间齿轮轴喷油嘴组件,,,,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,004,20108904000,01,01,201089040000101,00001,20108904000010100001,20108904000010100001
159,97.805 ,输入齿轮喷油嘴组件,,,,1,A0,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,005,20108905000,01,01,201089050000101,00001,20108905000010100001,20108905000010100001
160,97.806 ,进油管组件,,,,1,A1,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,006,20108906000,01,01,201089060000101,00001,20108906000010100001,20108906000010100001
161,97.807 ,冷却油管组件,,,,1,A2,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,007,20108907000,01,01,201089070000101,00001,20108907000010100001,20108907000010100001
162,97.808 ,出油管组件,,,,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,008,20108908000,01,01,201089080000101,00001,20108908000010100001,20108908000010100001
163,97.809 ,扭矩计供油管组件,,,,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,009,20108909000,01,01,201089090000101,00001,20108909000010100001,20108909000010100001
164,97.810 ,后转接油管组件,,,,1,A0,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,010,20108910000,01,01,201089100000101,00001,20108910000010100001,20108910000010100001
165,97.811 ,方形转接油管组件,,,,1,A0,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,011,20108911000,01,01,201089110000101,00001,20108911000010100001,20108911000010100001
166,97.812 ,前转接油管组件,,,,1,A2,孙经雨,涡轴,2,400kW,01,滑油系统,08,装配,900,20108900,012,20108912000,01,01,201089120000101,00001,20108912000010100001,20108912000010100001
167,97.813 ,滑油箱放泄装置,,,,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,008,20108018008,01,01,201080180080101,00001,20108018008010100001,20108018008010100001
168,97.814 ,滑油箱加油口油滤装置,,,,1,A3,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,009,20108018009,01,01,201080180090101,00001,20108018009010100001,20108018009010100001
169,97.815 ,滑油观察窗,,,,1,A4,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,010,20108018010,01,01,201080180100101,00001,20108018010010100001,20108018010010100001
170,97.816 ,滑油箱加油口盖,,,,1,A2,孙经雨,涡轴,2,400kW,01,滑油系统,08,其他,018,20108018,011,20108018011,01,01,201080180110101,00001,20108018011010100001,20108018011010100001
171,97.950 ,单元体1,,,,3,A0,孙经雨,涡轴,2,400kW,01,装配,90,零,000,20190000,001,20190000001,01,01,201900000010101,00001,20190000001010100001,20190000001010100001
